"latitud";"longitud";"region";"comuna"
-33,703027778;-71,371861111;"Metropolitana";"Melipilla"
-33,077222222;-70,752777778;"Metropolitana";"Tiltil"
-33,121333333;-70,834777778;"Metropolitana";"Tiltil"
-33,673888889;-70,586944444;"Metropolitana";"Pirque"
-33,707361111;-70,701555556;"Metropolitana";"Buin"
-33,65;-71,1;"Metropolitana";"El Monte"
-33,67325;-70,921138889;"Metropolitana";"Talagante"
-33,662888889;-70,765916667;"Metropolitana";"San Bernardo"
-33,862083333;-70,639194444;"Metropolitana";"Paine"
-33,218777778;-70,715833333;"Metropolitana";"Colina"
-33,630555556;-70,799166667;"Metropolitana";"Calera de Tango"
-33,725555556;-71,209722222;"Metropolitana";"Melipilla"
-33,586666667;-70,996111111;"Metropolitana";"Melipilla"
-33,438611111;-71,025555556;"Metropolitana";"Curacaví"
-34,065;-71,253888889;"Metropolitana";"Alhué"
-33,891388889;-71,394166667;"Metropolitana";"San Pedro"
-33,763888889;-70,886666667;"Metropolitana";"Isla de Maipo"
-33,691944444;-71,100833333;"Metropolitana";"El Monte"
-33,56987;-70,627972833;"Metropolitana";"La Pintana"
-33,506388889;-71,060833333;"Metropolitana";"Curacaví"
-33,671388889;-70,581666667;"Metropolitana";"Pirque"
-33,706388889;-70,772777778;"Metropolitana";"Buin"
-33,718611111;-70,669166667;"Metropolitana";"Buin"
-33,581944444;-70,880555556;"Metropolitana";"Isla de Maipo"
-33,760555556;-71,225555556;"Metropolitana";"Melipilla"
-33,843055556;-70,619722222;"Metropolitana";"Buin"
-33,768888889;-70,929722222;"Metropolitana";"Paine"
-34,0225;-71,344166667;"Metropolitana";"Buin"
-33,581388889;-70,716666667;"Metropolitana";"San Bernardo"
-33,771111111;-70,685555556;"Metropolitana";"Paine"
-33,599722222;-70,649722222;"Metropolitana";"Paine"
-33,725439;-71,042558;"Metropolitana";"Isla de Maipo"
-33,897935;-71,452881;"Metropolitana";"San Pedro"
-33,7;-70,7;"Metropolitana";"Buin"
-33,497093;-70,845436;"Metropolitana";"Maipú"
-33,1471111;-70,6602222;"Metropolitana";"Colina"
-34,029282;-70,995098;"Metropolitana";"Alhué"
-33,286268;-70,83606;"Metropolitana";"Lampa"
