ESTACION;REGION;ALTURA;LON;LAT;ENE;FEB;MAR;ABR;MAY;JUN;UL;AGO;SEP;OCT;NOV;DIC
ARICA CHACALLUTA DMC;ARICA Y PARINACOTA;42;-70.3333;-18.3333;0;0;0;0;0;0;0;0;0;0;0;0
DIEGO ARACENA IQUIQUE AP.;TARAPACA;52;-70.1786;-20.5397;0;0;0;0;0;0;0;0;0;0;0;0
CERRO MORENO;ANTOFAGASTA;113;-70.4411;-23.4503;0;0;0;1;1;1;1;1;0;0;0;0
EL LOA CALAMA AD;ANTOFAGASTA;2293;-69.9044;-22.4953;0;1;1;0;1;2;1;0;0;0;0;0
COPIAPO CHAMONATE AD.;ATACAMA;291;-70.4167;-27.3;0;0;0;0;2;4;4;2;0;1;0;0
DESIERTO DE ATACAMA CALDERA AP.;ATACAMA;204;-70.7742;-27.2639;0;0;1;1;2;5;6;4;0;0;0;0
VALLENAR AD.;ATACAMA;535;-70.7569;-28.5933;0;0;2;2;7;18;9;6;1;1;0;0
ANDACOLLO TENENCIA;COQUIMBO;1088;-71.0817;-30.2339;0;0;0;7;15;29;57;25;1;4;0;0
COMBARBALA - ESSCO;COQUIMBO;933;-70.9989;-31.1881;1;0;2;4;29;47;53;35;9;4;1;0
LA FLORIDA, LA SERENA;COQUIMBO;142;-71.2011;-29.9175;0;0;1;1;10;23;30;14;4;3;0;0
OVALLE FACH;COQUIMBO;339;-71.1794;-30.5636;0;0;0;1;3;25;24;23;13;3;0;0
SALAMANCA C.C.T.;COQUIMBO;492;-70.9733;-31.7822;1;0;2;10;30;45;79;37;13;5;3;0
VICUÑA CAMPEX;COQUIMBO;605;-70.7208;-30.0311;0;0;0;3;9;15;16;13;7;3;1;0
EL BELLOTO AD.;VALPARAISO;121;-71.4167;-33.0475;0;0;1;9;32;103;153;76;25;11;9;2
LA LIGUA - ESVAL;VALPARAISO;58;-71.2667;-32.45;0;0;4;8;55;89;84;56;22;8;2;0
PUNTA PANUL FARO;VALPARAISO;75;-71.625;-33.575;0;1;5;20;70;87;93;54;31;12;8;1
QUINTERO BASE AEREA;VALPARAISO;14;-71.5233;-32.7842;0;0;1;19;42;64;104;39;17;11;10;2
SANTO DOMINGO AD.;VALPARAISO;75;-71.6142;-33.655;0;2;6;23;92;115;99;75;35;14;6;3
VALPARAISO - PUNTA ANGELES;VALPARAISO;41;-71.6453;-33.0231;0;1;6;16;72;92;81;67;25;9;6;1
TOBALABA;METROPOLITANA;638;-70.5333;-33.45;1;2;6;17;49;82;68;65;32;16;6;3
LOS CERRILLOS AD.;METROPOLITANA;519;-70.7039;-33.4947;0;0;3;11;32;61;86;47;17;13;11;3
LOS MORROS - CENTRAL;METROPOLITANA;570;-70.6667;-33.6333;0;0;6;18;58;84;79;65;31;14;7;3
