ESTACIÓN;REGIÓN;ALT;LON;LAT;RG_ENE;RG_FEB;RG_MAR;RG_ABR;RG_MAY;RG_JUN;RG_JUL;RG_AGO;RG_SEP;RG_OCT;RG_NOV;RG_DIC
ARICA CHACALLUTA;ARICA Y PARINACOTA;58;-70.3333;-18.3333;540;525;530;449;363;286;287;322;379;464;511;535
IQUIQUE DIEGO ARACENA;TARAPACA;52;-70.1833;-20.5333;610;571;555;465;368;298;304;347;417;513;564;604
CALAMA EL LOA;ANTOFAGASTA;2270;-68.9;-22.4833;633;588;591;530;464;415;444;517;575;649;657;662
ANTOFAGASTA CERRO MORENO;ANTOFAGASTA;135;-70.4333;-23.4333;384;429;529;564;592;580;588;551;495;442;376;365
CALDERA DESIERTO DE ATACAMA;ATACAMA;204;-70.78;-27.27;541;497;443;360;278;265;288;341;402;453;481;514
COPIAPO CHAMONATE;ATACAMA;291;-70.4167;-27.3;623;597;476;362;294;256;289;358;453;551;589;623
VALLENAR;ATACAMA;514;-70.7667;-28.5833;610;582;511;422;338;286;304;387;460;545;584;608
LA SERENA. LA FLORIDA;COQUIMBO;142;-71.2;-29.9;532;489;417;329;269;233;261;318;370;445;476;519
QUINTERO;VALPARAISO;8;-71.55;-32.7833;548;467;408;317;230;196;225;287;349;441;473;594
VALPARAISO PTA ANGELES;VALPARAISO;41;-71.6333;-33.0167;539;486;380;325;229;193;203;300;343;468;481;539
SANTO  DOMINGO;VALPARAISO;71;-71.6333;-33.6;554;482;423;331;232;194;223;293;376;470;515;517
SANTIAGO PUDAHUEL;METROPOLITANA;475;-70.7833;-33.3833;666;568;496;353;244;196;222;289;372;496;581;651
SANTIAGO QUINTA NORMAL;METROPOLITANA;520;-70.6833;-33.4333;621;534;463;337;232;182;209;278;351;469;551;620
CURICO GENERAL FREIRE;MAULE;228;-71.2333;-34.9667;658;567;456;314;197;153;179;253;342;464;567;638
CHILLAN B OHIGGINS;ÑUBLE;124;-72.0333;-36.5667;649;553;464;315;199;155;178;259;359;472;568;629
CONCEPCION CARRIEL SUR;BIOBIO;12;-73.05;-36.7667;616;517;446;317;211;168;193;266;365;478;564;613
LOS ANGELES MARIA DOLORES;BIOBIO;109;-72.4333;-37.4;653;569;436;282;153;125;144;218;312;473;564;648
TEMUCO MANQUEHUE;ARAUCANIA;114;-72.6333;-38.75;565;489;397;270;174;131;156;226;320;416;488;542
VALDIVIA PICHOY;LOS RIOS;19;-73.0833;-39.6167;570;491;388;251;154;113;137;204;304;414;484;545
PUERTO MONTT EL TEPUAL;LOS LAGOS;85;-73.0833;-41.4167;490;426;335;225;144;109;130;194;275;364;426;471
CHILE CHICO;AYSEN;327;-71.6833;-46.5333;626;524;460;323;236;188;206;299;394;518;567;605
COYHAIQUE TENIENTE VIDAL;AYSEN;310;-72.1167;-45.5833;509;435;342;226;130;92;111;185;277;403;468;511
PUNTA ARENAS CARLOS IBAðEZ;MAGALLANES;37;-70.85;-53;461;374;275;168;90;54;70;137;232;359;439;481
