ema;institucion;nombre_ema;comuna;region;latitud;longitud;fecha_de_alta
1;FDF;Azapa1;Arica;Arica y Parinacota;-18,509638889;-70,248055554;2013-03-08T06:49:10Z
2;FDF;Azapa2;Arica;Arica y Parinacota;-18,520444444;-70,232666667;2013-03-08T06:49:10Z
3;FDF;Tranque Lautaro;Tierra Amarilla;Atacama;-27,975583333;-70,000000000;2013-03-08T06:49:12Z
4;FDF;Jotabeche;Tierra Amarilla;Atacama;-27,588611111;-70,244722222;2013-03-08T06:49:12Z
5;FDF;Hornitos;Tierra Amarilla;Atacama;-27,728888889;-70,196666667;2013-03-08T06:49:12Z
6;FDF;Copiapo;Copiapó;Atacama;-27,345833333;-70,407777778;2013-03-08T06:49:11Z
7;FDF;Bodega;Copiapó;Atacama;-27,343611111;-70,372777778;2013-03-08T06:49:11Z
8;FDF;Vallenar;Freirina;Atacama;-28,526305556;-70,943083333;2013-03-08T06:49:11Z
9;FDF;Alto del Carmen;Alto del Carmen;Atacama;-28,768166667;-70,449222222;2013-03-08T06:49:10Z
10;FDF;El Palqui;Monte Patria;Coquimbo;-30,746388889;-70,936944444;2013-03-08T06:49:11Z
11;FDF;Vicuña;Vicuña;Coquimbo;-30,038333333;-70,696666667;2013-03-08T06:49:12Z
12;FDF;Paihuano;Paiguano;Coquimbo;-30,046944444;-70,510833333;2013-03-08T06:49:11Z
13;FDF;Recoleta;Ovalle;Coquimbo;-30,490916667;-71,165777778;2013-03-08T06:49:11Z
14;FDF;San Julián;Ovalle;Coquimbo;-30,655277778;-71,318888889;2013-03-08T06:49:11Z
15;FDF;Monte Patria;Monte Patria;Coquimbo;-30,682222222;-70,939444444;2013-03-08T06:49:11Z
16;FDF;Combarbalá;Combarbalá;Coquimbo;-31,188333333;-70,998888889;2013-03-08T06:49:11Z
17;FDF;Punitaqui;Punitaqui;Coquimbo;-30,780000000;-71,256111111;2013-03-08T06:49:12Z
18;FDF;Illapel;Illapel;Coquimbo;-31,731055556;-71,205555556;2013-03-08T06:49:11Z
19;FDF;Salamanca;Salamanca;Coquimbo;-31,787388889;-70,959611111;2013-03-08T06:49:12Z
20;FDF;Cabildo;Cabildo;Valparaíso;-32,362194444;-70,819722222;2013-03-08T06:49:10Z
21;FDF;Petorca;Cabildo;Valparaíso;-32,396666667;-71,029444444;2013-03-08T06:49:10Z
22;FDF;SAN ESTEBAN;San Esteban;Valparaíso;-32,750444444;-70,557583333;2013-03-08T06:49:12Z
24;FDF;Calle Larga;Calle Larga;Valparaíso;-32,870555556;-70,646111111;2013-03-08T06:49:10Z
25;FDF;Rinconada;Rinconada;Valparaíso;-32,837055556;-70,692527778;2013-03-08T06:49:12Z
26;FDF;San Felipe;San Felipe;Valparaíso;-32,755333000;-70,706917000;2013-03-08T06:49:12Z
27;FDF;Putaendo;Putaendo;Valparaíso;-32,593694444;-70,726111111;2013-03-08T06:49:12Z
28;FDF;Santa María;Santa María;Valparaíso;-32,749166667;-70,660277778;2013-03-08T06:49:12Z
29;FDF;Panquehue;Panquehue;Valparaíso;-32,756638889;-70,808833333;2013-03-08T06:49:11Z
30;FDF;Llayllay;Llaillay;Valparaíso;-32,903333333;-70,950555556;2013-03-08T06:49:11Z
31;FDF;Catemu;Catemu;Valparaíso;-32,757777778;-70,942777778;2013-03-08T06:49:11Z
32;FDF;Quillota;Quillota;Valparaíso;-32,892388889;-71,206722222;2013-03-08T06:49:12Z
33;FDF;La Cruz;La Cruz;Valparaíso;-32,800000000;-71,200000000;2013-03-08T06:49:11Z
34;FDF;Nogales;Nogales;Valparaíso;-32,736388889;-71,199166667;2013-03-08T06:49:11Z
35;FDF;Hijuelas;Hijuelas;Valparaíso;-32,847944444;-71,067083333;2013-03-08T06:49:11Z
36;FDF;Limache;Limache;Valparaíso;-32,994444444;-71,260666667;2013-03-08T06:49:11Z
37;FDF;Olmué;Olmué;Valparaíso;-33,021944444;-71,186388889;2013-03-08T06:49:11Z
38;FDF;Casablanca;Casablanca;Valparaíso;-33,320833333;-71,437222222;2013-03-08T06:49:11Z
39;FDF;San Diego;Melipilla;Metropolitana;-33,703027778;-71,371861111;2013-03-08T06:49:11Z
40;FDF;HUECHÚN EX Lampa;Tiltil;Metropolitana;-33,077222222;-70,752777778;2013-03-08T06:49:11Z
41;FDF;Til til;Tiltil;Metropolitana;-33,121333333;-70,834777778;2013-03-08T06:49:12Z
42;FDF;Pirque;Pirque;Metropolitana;-33,673888889;-70,586944444;2013-03-08T06:49:12Z
43;FDF;Buin;Buin;Metropolitana;-33,707361111;-70,701555556;2013-03-08T06:49:10Z
44;FDF;Melipilla;El Monte;Metropolitana;-33,650000000;-71,100000000;2013-03-08T06:49:11Z
45;FDF;TALAGANTE;Talagante;Metropolitana;-33,673250000;-70,921138889;2013-03-08T06:49:12Z
46;FDF;LO HERRERA;San Bernardo;Metropolitana;-33,662888889;-70,765916667;2013-03-08T06:49:12Z
47;FDF;HUELQUEN;Paine;Metropolitana;-33,862083333;-70,639194444;2013-03-08T06:49:11Z
48;FDF;COLINA;Colina;Metropolitana;-33,218777778;-70,715833333;2013-03-08T06:49:11Z
49;FDF;Calera de Tango;Calera de Tango;Metropolitana;-33,630555556;-70,799166667;2013-03-08T06:49:10Z
50;FDF;Chocalan;Melipilla;Metropolitana;-33,725555556;-71,209722222;2013-03-08T06:49:11Z
51;FDF;Mallarauco;Melipilla;Metropolitana;-33,586666667;-70,996111111;2013-03-08T06:49:11Z
52;FDF;Curacaví;Curacaví;Metropolitana;-33,438611111;-71,025555556;2013-03-08T06:49:11Z
53;FDF;Alhué;Alhué;Metropolitana;-34,065000000;-71,253888889;2013-03-08T06:49:10Z
54;FDF;San Pedro;San Pedro;Metropolitana;-33,891388889;-71,394166667;2013-03-08T06:49:12Z
55;FDF;Isla de Maipo;Isla de Maipo;Metropolitana;-33,763888889;-70,886666667;2013-03-08T06:49:11Z
56;FDF;El Monte;El Monte;Metropolitana;-33,691944444;-71,100833333;2013-03-08T06:49:11Z
57;FDF;QUINTA TILCOCO;Quinta de Tilcoco;O'Higgins;-34,362000000;-70,935277778;2013-03-08T06:49:12Z
58;FDF;SAN FERNANDO;San Fernando;O'Higgins;-34,577833333;-70,975527778;2013-03-08T06:49:12Z
59;FDF;STA. BRISILA;Las Cabras;O'Higgins;-34,298080556;-71,323800000;2013-03-08T06:49:11Z
60;FDF;Chimbarongo;Chimbarongo;O'Higgins;-34,670833333;-71,031666667;2013-03-08T06:49:11Z
61;FDF;Codegua Norte Ex Rancagua;Codegua;O'Higgins;-34,108888889;-70,639583333;2013-03-08T06:49:11Z
62;FDF;Graneros Norte;Graneros;O'Higgins;-34,061944444;-70,705000000;2013-03-08T06:49:11Z
63;FDF;Mostazal;Mostazal;O'Higgins;-34,001666667;-70,701666667;2013-03-08T06:49:11Z
64;FDF;Codegua;Codegua;O'Higgins;-34,110277778;-70,653611111;2013-03-08T06:49:11Z
65;FDF;Punta Cortes;Rancagua;O'Higgins;-34,169750000;-70,791277778;2013-03-08T06:49:12Z
66;FDF;Olivar Alto;Olivar;O'Higgins;-34,203055556;-70,824166667;2013-03-08T06:49:11Z
67;FDF;Los Maquis;Malloa;O'Higgins;-34,499722222;-70,839722222;2013-03-08T06:49:11Z
